#::	$Id: nmap-mac-prefixes 4117 2006-11-02 19:46:28Z fyodor $ generated with make-mac-prefixes.pl
#::	Original data comes from http://standards.ieee.org/regauth/oui/oui.txt
#::	These values are known as Organizationally Unique Identifiers (OUIs)
#::	See http://standards.ieee.org/faqs/OUI.html
#::	We have added a few unregistered OUIs at the end.
00:00:00	Xerox
00:00:01	Xerox
00:00:02	Xerox
00:00:03	Xerox
00:00:04	Xerox
00:00:05	Xerox
00:00:06	Xerox
00:00:07	Xerox
00:00:08	Xerox
00:00:09	Xerox
00:00:0A	Omron Tateisi Electronics CO.
00:00:0B	Matrix
00:00:0C	Cisco Systems
00:00:0D	Fibronics
00:00:0E	Fujitsu Limited
00:00:0F	NEXT
00:00:10	Sytek
00:00:11	Normerel Systemes
00:00:12	Information Technology Limited
00:00:13	Camex
00:00:14	Netronix
00:00:15	Datapoint
00:00:16	DU Pont Pixel Systems
00:00:17	Tekelec
00:00:18	Webster Computer
00:00:19	Applied Dynamics International
00:00:1A	Advanced Micro Devices
00:00:1B	Novell
00:00:1C	Bell Technologies
00:00:1D	Cabletron Systems
00:00:1E	Telsist Industria Electronica
00:00:1F	Telco Systems
00:00:20	Dataindustrier Diab AB
00:00:21	Sureman COMP. & Commun.
00:00:22	Visual Technology
00:00:23	ABB Industrial Systems AB
00:00:24	Connect AS
00:00:25	Ramtek
00:00:26	Sha-ken CO.
00:00:27	Japan Radio Company
00:00:28	Prodigy Systems
00:00:29	IMC Networks
00:00:2A	TRW - Sedd/inp
00:00:2B	Crisp Automation
00:00:2C	Autotote Limited
00:00:2D	Chromatics
00:00:2E	Societe Evira
00:00:2F	Timeplex
00:00:30	VG Laboratory Systems
00:00:31	Qpsx Communications
00:00:32	Marconi plc
00:00:33	Egan Machinery Company
00:00:34	Network Resources
00:00:35	Spectragraphics
00:00:36	Atari
00:00:37	Oxford Metrics Limited
00:00:38	CSS Labs
00:00:39	Toshiba
00:00:3A	Chyron
00:00:3B	i Controls
00:00:3C	Auspex Systems
00:00:3D	Unisys
00:00:3E	Simpact
00:00:3F	Syntrex
00:00:40	Applicon
00:00:41	ICE
00:00:42	Metier Management Systems
00:00:43	Micro Technology
00:00:44	Castelle
00:00:45	Ford Aerospace & COMM.
00:00:46	Olivetti North America
00:00:47	Nicolet Instruments
00:00:48	Seiko Epson
00:00:49	Apricot Computers
00:00:4A	ADC Codenoll Technology
00:00:4B	ICL Data OY
00:00:4C	NEC
00:00:4D	DCI
00:00:4E	Ampex
00:00:4F	Logicraft
00:00:50	Radisys
00:00:51	HOB Electronic Gmbh & CO. KG
00:00:52	Intrusion.com
00:00:53	Compucorp
00:00:54	Modicon
00:00:55	Commissariat A L`energie ATOM.
00:00:56	DR. B. Struck
00:00:57	Scitex
00:00:58	Racore Computer Products
00:00:59	Hellige Gmbh
00:00:5A	SysKonnect GmbH
00:00:5B	Eltec Elektronik AG
00:00:5C	Telematics International
00:00:5D	CS Telecom
00:00:5E	USC Information Sciences Inst
00:00:5F	Sumitomo Electric IND.
00:00:60	Kontron Elektronik Gmbh
00:00:61	Gateway Communications
00:00:62	Bull HN Information Systems
00:00:63	Barco Control Rooms Gmbh
00:00:64	Yokogawa Digital Computer
00:00:65	Network General
00:00:66	Talaris Systems
00:00:67	Soft * RITE
00:00:68	Rosemount Controls
00:00:69	Concord Communications
00:00:6A	Computer Consoles
00:00:6B	Silicon Graphics/mips
00:00:6C	Private
00:00:6D	Cray Communications
00:00:6E	Artisoft
00:00:6F	Madge
